"BehaviorSpace results (NetLogo 7.0.2)","Table version 2.0"
"modelo_redes_preferenciales.nlogox"
"positive-convergence-time"
"06/09/2026 15:51:18:978 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","total-ticks","learning-rate","pairs-per-tick","confidence-threshold","influence-type","[step]","ticks","mean-opinion","sd-opinion"
"3","100000","0.1","10","0","pos","99999","100000","0.09850018045784645","0.056002731990410434"
"6","100000","0.1","10","0","pos","99999","100000","0.10414168011014506","0.06287124895294934"
"2","100000","0.1","10","0","pos","99999","100000","0.10918262875789063","0.04359705550584215"
"5","100000","0.1","10","0","pos","99999","100000","0.11109913620176255","0.058776487505628916"
"4","100000","0.1","10","0","pos","99999","100000","0.09181073187367235","0.06051114886352888"
"1","100000","0.1","10","0","pos","99999","100000","0.10775138339181872","0.060555502144076526"
"7","100000","0.1","10","0","pos","99999","100000","0.11071079429628822","0.07296243632318837"
"8","100000","0.1","10","0","pos","99999","100000","0.09430557800966632","0.05089286479771061"
"9","100000","0.1","10","0","pos","99999","100000","0.11375389955802706","0.05603622123763978"
"11","100000","0.1","10","0","pos","99999","100000","0.09934185718381638","0.057539364071866925"
"13","100000","0.1","10","0","pos","99999","100000","0.11255234107240239","0.06874269132220516"
"12","100000","0.1","10","0","pos","99999","100000","0.11016236139940455","0.063003269608366"
"10","100000","0.1","10","0","pos","99999","100000","0.10934482156090354","0.07656869347586266"
"14","100000","0.1","10","0","pos","99999","100000","0.10214808413626472","0.06376532306639354"
"15","100000","0.1","10","0","pos","99999","100000","0.10220080683021689","0.044415521001276485"
"16","100000","0.1","10","0","pos","99999","100000","0.1030874504644505","0.06320186128679103"
"17","100000","0.1","10","0","pos","99999","100000","0.13040979600635128","0.056203881763227534"
"18","100000","0.1","10","0","pos","99999","100000","0.11172484150707807","0.08181500703050174"
"22","100000","0.1","10","0","pos","99999","100000","0.10660305473615268","0.050815711202584"
"23","100000","0.1","10","0","pos","99999","100000","0.11808353590513553","0.05098099352856564"
"20","100000","0.1","10","0","pos","99999","100000","0.09311520970270674","0.05690365924324472"
"19","100000","0.1","10","0","pos","99999","100000","0.10578711333312078","0.06422936217537524"
"21","100000","0.1","10","0","pos","99999","100000","0.12448906487526043","0.08413303236683113"
"24","100000","0.1","10","0","pos","99999","100000","0.1136623046071424","0.05522844598050275"
"25","100000","0.1","10","0","pos","99999","100000","0.11170702118161059","0.051392461721446334"
"27","100000","0.1","10","0","pos","99999","100000","0.11143077017021254","0.04894375749821965"
"26","100000","0.1","10","0","pos","99999","100000","0.11326596377441556","0.04689756909484699"
"30","100000","0.1","10","0","pos","99999","100000","0.10473431855058506","0.04418322650837412"
"32","100000","0.1","20","0","pos","99999","100000","0.11052456677833762","0.05436556051583288"
"28","100000","0.1","10","0","pos","99999","100000","0.1067003166225249","0.06064307018197413"
"29","100000","0.1","10","0","pos","99999","100000","0.09148348744575373","0.07846857374906965"
"31","100000","0.1","20","0","pos","99999","100000","0.10814012216514696","0.04331540671430298"
"33","100000","0.1","20","0","pos","99999","100000","0.11113296131791432","0.05061933247878109"
"34","100000","0.1","20","0","pos","99999","100000","0.09422869623420245","0.04000089985780739"
"35","100000","0.1","20","0","pos","99999","100000","0.09370971770714842","0.04227564168080043"
"36","100000","0.1","20","0","pos","99999","100000","0.11900787761625918","0.05498175899321335"
"41","100000","0.1","20","0","pos","99999","100000","0.10277917647914517","0.0453389495001281"
"39","100000","0.1","20","0","pos","99999","100000","0.10076426292906175","0.04290696126933377"
"38","100000","0.1","20","0","pos","99999","100000","0.10984312138410499","0.04988656724486093"
"37","100000","0.1","20","0","pos","99999","100000","0.11161896921857792","0.05850087767683433"
"40","100000","0.1","20","0","pos","99999","100000","0.0928419523778327","0.05275956606250235"
"42","100000","0.1","20","0","pos","99999","100000","0.1045899839859127","0.04552723785778599"
"43","100000","0.1","20","0","pos","99999","100000","0.10886273801318637","0.056486331506588425"
"44","100000","0.1","20","0","pos","99999","100000","0.09995509499242607","0.0547321594738863"
"45","100000","0.1","20","0","pos","99999","100000","0.1156960526916522","0.05557840999814382"
"46","100000","0.1","20","0","pos","99999","100000","0.11262332112087213","0.03929720756541562"
"48","100000","0.1","20","0","pos","99999","100000","0.11399634780435329","0.04740584592503367"
"49","100000","0.1","20","0","pos","99999","100000","0.08743791935616038","0.04211625642698398"
"47","100000","0.1","20","0","pos","99999","100000","0.10071579595913223","0.05119909686034102"
"50","100000","0.1","20","0","pos","99999","100000","0.09224034336231639","0.04641439291758968"
"51","100000","0.1","20","0","pos","99999","100000","0.10143343559660029","0.05695691819090086"
"52","100000","0.1","20","0","pos","99999","100000","0.11062308690488286","0.05337858224030933"
"53","100000","0.1","20","0","pos","99999","100000","0.11773716278484007","0.04122758936269018"
"54","100000","0.1","20","0","pos","99999","100000","0.10057363001159354","0.046119728584459986"
"55","100000","0.1","20","0","pos","99999","100000","0.10854785091883491","0.047021610670247564"
"59","100000","0.1","20","0","pos","99999","100000","0.09808426017070362","0.06648189780488425"
"56","100000","0.1","20","0","pos","99999","100000","0.10440238556363816","0.04751838334678681"
"57","100000","0.1","20","0","pos","99999","100000","0.11917655653734371","0.052658111702629976"
"58","100000","0.1","20","0","pos","99999","100000","0.08894506990422828","0.06192926007096245"
"60","100000","0.1","20","0","pos","99999","100000","0.12227454822582615","0.07300820250272477"
"61","100000","0.1","30","0","pos","99999","100000","0.12301123757082195","0.042203953673152585"
"64","100000","0.1","30","0","pos","99999","100000","0.11287981553629839","0.04465056111295555"
"63","100000","0.1","30","0","pos","99999","100000","0.11017250029067573","0.04356170292519376"
"62","100000","0.1","30","0","pos","99999","100000","0.11336674709323409","0.04905222784196071"
"65","100000","0.1","30","0","pos","99999","100000","0.1009480044370154","0.028581628786580278"
"66","100000","0.1","30","0","pos","99999","100000","0.10145432015418222","0.03941222420854007"
"67","100000","0.1","30","0","pos","99999","100000","0.11755713040971988","0.03330554544512055"
"68","100000","0.1","30","0","pos","99999","100000","0.09955183935034004","0.049867924565200276"
"69","100000","0.1","30","0","pos","99999","100000","0.11274554275580612","0.045761369869585684"
"70","100000","0.1","30","0","pos","99999","100000","0.10324240629623369","0.03983994392478924"
"71","100000","0.1","30","0","pos","99999","100000","0.11032463668348323","0.028311824593744553"
"75","100000","0.1","30","0","pos","99999","100000","0.11744080789169685","0.021303391330633914"
"74","100000","0.1","30","0","pos","99999","100000","0.10680949740215145","0.04667384630936507"
"76","100000","0.1","30","0","pos","99999","100000","0.09676232485812693","0.030124624313502987"
"77","100000","0.1","30","0","pos","99999","100000","0.1126164610964888","0.0400677366422461"
