"BehaviorSpace results (NetLogo 7.0.2)","Table version 2.0"
"modelo_redes_preferenciales.nlogox"
"main-pattern-bc-fixed-pref"
"06/22/2026 04:04:31:405 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","total-ticks","learning-rate","pairs-per-tick","confidence-threshold","influence-type","[step]","percentage-A","percentage-B","male-percentage-A","female-percentage-A"
"1","260","0.1","10","0.1","bc","0","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"1","260","0.1","10","0.1","bc","69","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"10","260","0.5","20","0.1","bc","0","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"5","260","0.5","10","0.1","bc","0","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"2","260","0.2","10","0.1","bc","0","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"1","260","0.1","10","0.1","bc","166","60.65420560747663","39.345794392523366","59.06432748538012","62.11849192100538"
"3","260","0.3","10","0.1","bc","0","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"10","260","0.5","20","0.1","bc","69","60.46728971962617","39.532710280373834","58.86939571150097","61.93895870736086"
"7","260","0.2","20","0.1","bc","0","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"2","260","0.2","10","0.1","bc","69","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"8","260","0.3","20","0.1","bc","0","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"5","260","0.5","10","0.1","bc","69","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"12","260","0.2","30","0.1","bc","0","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"11","260","0.1","30","0.1","bc","0","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"4","260","0.4","10","0.1","bc","0","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"6","260","0.1","20","0.1","bc","0","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"9","260","0.4","20","0.1","bc","0","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"1","260","0.1","10","0.1","bc","259","60.65420560747663","39.345794392523366","59.06432748538012","62.11849192100538"
"2","260","0.2","10","0.1","bc","166","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"10","260","0.5","20","0.1","bc","166","60.46728971962617","39.532710280373834","58.86939571150097","61.93895870736086"
"3","260","0.3","10","0.1","bc","69","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"5","260","0.5","10","0.1","bc","166","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"8","260","0.3","20","0.1","bc","69","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"11","260","0.1","30","0.1","bc","69","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"7","260","0.2","20","0.1","bc","69","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"9","260","0.4","20","0.1","bc","69","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"4","260","0.4","10","0.1","bc","69","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"5","260","0.5","10","0.1","bc","259","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"3","260","0.3","10","0.1","bc","166","60.747663551401864","39.25233644859813","59.25925925925925","62.11849192100538"
"12","260","0.2","30","0.1","bc","69","60.65420560747663","39.345794392523366","59.25925925925925","61.93895870736086"
"2","260","0.2","10","0.1","bc","259","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"8","260","0.3","20","0.1","bc","166","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"6","260","0.1","20","0.1","bc","69","60.46728971962617","39.532710280373834","59.06432748538012","61.759425493716336"
"11","260","0.1","30","0.1","bc","166","60.65420560747663","39.345794392523366","59.25925925925925","61.93895870736086"
"9","260","0.4","20","0.1","bc","166","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"10","260","0.5","20","0.1","bc","259","60.46728971962617","39.532710280373834","58.86939571150097","61.93895870736086"
"13","260","0.3","30","0.1","bc","0","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"12","260","0.2","30","0.1","bc","166","60.373831775700936","39.626168224299064","58.86939571150097","61.759425493716336"
