"BehaviorSpace results (NetLogo 7.0.2)","Table version 2.0"
"modelo_redes_preferenciales.nlogox"
"main-pattern-negative-fixed-pref"
"06/22/2026 03:41:57:488 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","total-ticks","learning-rate","pairs-per-tick","confidence-threshold","influence-type","[step]","percentage-A","percentage-B","male-percentage-A","female-percentage-A"
"1","260","0.1","10","0.1","neg","0","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"7","260","0.2","20","0.1","neg","0","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"9","260","0.4","20","0.1","neg","0","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"4","260","0.4","10","0.1","neg","0","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"5","260","0.5","10","0.1","neg","0","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"2","260","0.2","10","0.1","neg","0","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"8","260","0.3","20","0.1","neg","0","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"10","260","0.5","20","0.1","neg","0","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"2","260","0.2","10","0.1","neg","69","59.345794392523366","40.654205607476634","58.67446393762184","59.964093357271096"
"4","260","0.4","10","0.1","neg","69","58.504672897196265","41.495327102803735","57.89473684210527","59.06642728904848"
"5","260","0.5","10","0.1","neg","69","58.87850467289719","41.1214953271028","58.28460038986355","59.42549371633752"
"7","260","0.2","20","0.1","neg","69","58.69158878504673","41.308411214953274","56.14035087719298","61.04129263913825"
"4","260","0.4","10","0.1","neg","166","56.728971962616825","43.27102803738318","55.7504873294347","57.63016157989228"
"1","260","0.1","10","0.1","neg","69","60","40","58.86939571150097","61.04129263913825"
"5","260","0.5","10","0.1","neg","166","55.51401869158879","44.48598130841121","54.385964912280706","56.552962298025136"
"2","260","0.2","10","0.1","neg","166","57.757009345794394","42.242990654205606","56.92007797270955","58.52782764811491"
