"BehaviorSpace results (NetLogo 7.0.2)","Table version 2.0"
"modelo_redes_preferenciales.nlogox"
"main-pattern-positive-fixed-pref"
"06/22/2026 04:03:27:738 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","total-ticks","learning-rate","pairs-per-tick","confidence-threshold","influence-type","[step]","percentage-A","percentage-B","male-percentage-A","female-percentage-A"
"9","260","0.4","20","0","pos","0","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"2","260","0.2","10","0","pos","0","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"8","260","0.3","20","0","pos","0","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"1","260","0.1","10","0","pos","0","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"12","260","0.2","30","0","pos","0","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"6","260","0.1","20","0","pos","0","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"7","260","0.2","20","0","pos","0","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"4","260","0.4","10","0","pos","0","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"11","260","0.1","30","0","pos","0","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"3","260","0.3","10","0","pos","0","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"5","260","0.5","10","0","pos","0","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"10","260","0.5","20","0","pos","0","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"2","260","0.2","10","0","pos","69","61.96261682242991","38.03738317757009","59.84405458089669","63.91382405745063"
"6","260","0.1","20","0","pos","69","62.616822429906534","37.38317757009346","61.20857699805068","63.91382405745063"
"8","260","0.3","20","0","pos","69","60.93457943925233","39.06542056074767","60.81871345029239","61.04129263913825"
"9","260","0.4","20","0","pos","69","64.95327102803739","35.046728971962615","63.74269005847953","66.06822262118493"
"10","260","0.5","20","0","pos","69","61.77570093457943","38.22429906542056","61.01364522417154","62.47755834829444"
"11","260","0.1","30","0","pos","69","62.89719626168224","37.10280373831776","61.98830409356725","63.73429084380611"
"4","260","0.4","10","0","pos","69","62.80373831775701","37.19626168224299","61.98830409356725","63.55475763016158"
"1","260","0.1","10","0","pos","69","61.40186915887851","38.598130841121495","60.42884990253411","62.29802513464991"
"12","260","0.2","30","0","pos","69","64.01869158878505","35.981308411214954","61.59844054580896","66.24775583482945"
"5","260","0.5","10","0","pos","69","62.99065420560748","37.00934579439252","62.57309941520468","63.37522441651705"
"3","260","0.3","10","0","pos","69","60.18691588785047","39.81308411214953","57.1150097465887","63.016157989228006"
"7","260","0.2","20","0","pos","69","62.24299065420561","37.75700934579439","61.01364522417154","63.37522441651705"
"6","260","0.1","20","0","pos","166","64.11214953271028","35.88785046728972","63.93762183235867","64.27289048473968"
"8","260","0.3","20","0","pos","166","64.57943925233644","35.42056074766355","63.93762183235867","65.1705565529623"
"9","260","0.4","20","0","pos","166","67.94392523364486","32.05607476635514","65.30214424951268","70.3770197486535"
"4","260","0.4","10","0","pos","166","63.73831775700934","36.26168224299066","63.1578947368421","64.27289048473968"
"10","260","0.5","20","0","pos","166","64.01869158878505","35.981308411214954","63.547758284600384","64.4524236983842"
"11","260","0.1","30","0","pos","166","65.42056074766354","34.57943925233645","64.32748538011695","66.42728904847397"
"2","260","0.2","10","0","pos","166","61.49532710280374","38.504672897196265","59.06432748538012","63.73429084380611"
"3","260","0.3","10","0","pos","166","62.24299065420561","37.75700934579439","58.0896686159844","66.06822262118493"
"1","260","0.1","10","0","pos","166","60.5607476635514","39.4392523364486","60.23391812865497","60.86175942549371"
"12","260","0.2","30","0","pos","166","67.94392523364486","32.05607476635514","66.8615984405458","68.9407540394973"
"6","260","0.1","20","0","pos","259","64.57943925233644","35.42056074766355","64.32748538011695","64.81149012567326"
"7","260","0.2","20","0","pos","166","63.084112149532714","36.915887850467286","61.40350877192983","64.63195691202873"
"5","260","0.5","10","0","pos","166","64.20560747663552","35.794392523364486","64.13255360623782","64.27289048473968"
"9","260","0.4","20","0","pos","259","70.65420560747664","29.345794392523366","69.00584795321637","72.17235188509873"
"10","260","0.5","20","0","pos","259","66.26168224299064","33.73831775700935","65.69200779727096","66.78635547576302"
"4","260","0.4","10","0","pos","259","66.82242990654206","33.177570093457945","65.8869395711501","67.68402154398564"
"8","260","0.3","20","0","pos","259","67.7570093457944","32.242990654205606","66.08187134502924","69.29982046678636"
"2","260","0.2","10","0","pos","259","61.49532710280374","38.504672897196265","59.64912280701754","63.19569120287253"
"11","260","0.1","30","0","pos","259","68.3177570093458","31.68224299065421","67.05653021442495","69.47935368043088"
"3","260","0.3","10","0","pos","259","63.925233644859816","36.074766355140184","59.84405458089669","67.68402154398564"
"1","260","0.1","10","0","pos","259","61.308411214953274","38.691588785046726","60.42884990253411","62.11849192100538"
"7","260","0.2","20","0","pos","259","65.14018691588785","34.859813084112155","62.96296296296296","67.14542190305207"
"5","260","0.5","10","0","pos","259","65.14018691588785","34.859813084112155","64.13255360623782","66.06822262118493"
"12","260","0.2","30","0","pos","259","70.65420560747664","29.345794392523366","69.78557504873294","71.45421903052065"
"14","260","0.4","30","0","pos","0","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"17","260","0.2","40","0","pos","0","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"16","260","0.1","40","0","pos","0","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"17","260","0.2","40","0","pos","69","63.45794392523364","36.54205607476636","61.20857699805068","65.52962298025135"
"19","260","0.4","40","0","pos","0","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"15","260","0.5","30","0","pos","0","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"20","260","0.5","40","0","pos","0","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"16","260","0.1","40","0","pos","69","62.89719626168224","37.10280373831776","62.57309941520468","63.19569120287253"
"18","260","0.3","40","0","pos","0","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"13","260","0.3","30","0","pos","0","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"15","260","0.5","30","0","pos","69","66.35514018691589","33.64485981308411","66.47173489278752","66.24775583482945"
"14","260","0.4","30","0","pos","69","61.308411214953274","38.691588785046726","58.0896686159844","64.27289048473968"
"23","260","0.3","50","0","pos","0","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"17","260","0.2","40","0","pos","166","68.78504672897196","31.21495327102804","65.8869395711501","71.45421903052065"
"21","260","0.1","50","0","pos","0","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"22","260","0.2","50","0","pos","0","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"20","260","0.5","40","0","pos","69","65.7943925233645","34.205607476635514","64.91228070175438","66.6068222621185"
"19","260","0.4","40","0","pos","69","63.084112149532714","36.915887850467286","61.01364522417154","64.99102333931778"
"18","260","0.3","40","0","pos","69","64.29906542056075","35.700934579439256","64.32748538011695","64.27289048473968"
"23","260","0.3","50","0","pos","69","66.07476635514018","33.925233644859816","64.32748538011695","67.68402154398564"
"21","260","0.1","50","0","pos","69","62.99065420560748","37.00934579439252","62.37816764132553","63.55475763016158"
"13","260","0.3","30","0","pos","69","63.925233644859816","36.074766355140184","62.37816764132553","65.35008976660683"
"17","260","0.2","40","0","pos","259","71.68224299065422","28.317757009345794","69.00584795321637","74.1472172351885"
"16","260","0.1","40","0","pos","166","65.88785046728972","34.112149532710276","65.8869395711501","65.8886894075404"
"24","260","0.4","50","0","pos","0","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"15","260","0.5","30","0","pos","166","71.68224299065422","28.317757009345794","72.12475633528264","71.27468581687613"
"22","260","0.2","50","0","pos","69","65.88785046728972","34.112149532710276","66.8615984405458","64.99102333931778"
"14","260","0.4","30","0","pos","166","66.72897196261682","33.271028037383175","65.30214424951268","68.04308797127469"
"20","260","0.5","40","0","pos","166","73.55140186915888","26.448598130841123","72.70955165692008","74.32675044883304"
"18","260","0.3","40","0","pos","166","69.4392523364486","30.560747663551403","68.81091617933723","70.01795332136446"
"16","260","0.1","40","0","pos","259","68.41121495327103","31.588785046728972","68.2261208576998","68.58168761220826"
"21","260","0.1","50","0","pos","166","64.67289719626169","35.32710280373832","64.13255360623782","65.1705565529623"
"15","260","0.5","30","0","pos","259","74.67289719626167","25.327102803738317","74.6588693957115","74.68581687612208"
"19","260","0.4","40","0","pos","166","68.78504672897196","31.21495327102804","69.98050682261209","67.68402154398564"
"13","260","0.3","30","0","pos","166","66.54205607476635","33.45794392523365","67.05653021442495","66.06822262118493"
"24","260","0.4","50","0","pos","69","65.7943925233645","34.205607476635514","64.5224171539961","66.96588868940754"
"22","260","0.2","50","0","pos","166","71.49532710280374","28.504672897196258","71.34502923976608","71.63375224416517"
"20","260","0.5","40","0","pos","259","74.85981308411215","25.140186915887853","74.26900584795322","75.40394973070018"
"23","260","0.3","50","0","pos","166","72.80373831775701","27.19626168224299","70.9551656920078","74.50628366247756"
"25","260","0.5","50","0","pos","0","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"21","260","0.1","50","0","pos","259","66.6355140186916","33.36448598130841","67.05653021442495","66.24775583482945"
"13","260","0.3","30","0","pos","259","70.37383177570094","29.626168224299064","71.34502923976608","69.47935368043088"
"18","260","0.3","40","0","pos","259","72.42990654205607","27.570093457943923","72.31968810916179","72.5314183123878"
"24","260","0.4","50","0","pos","166","72.24299065420561","27.757009345794394","70.9551656920078","73.4290843806104"
"14","260","0.4","30","0","pos","259","68.3177570093458","31.68224299065421","66.08187134502924","70.3770197486535"
"25","260","0.5","50","0","pos","69","64.85981308411215","35.14018691588785","62.768031189083814","66.78635547576302"
"22","260","0.2","50","0","pos","259","75.70093457943925","24.299065420560748","74.6588693957115","76.66068222621185"
"19","260","0.4","40","0","pos","259","71.49532710280374","28.504672897196258","73.09941520467837","70.01795332136446"
"26","260","0.1","10","0","pos","0","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"23","260","0.3","50","0","pos","259","75.42056074766356","24.57943925233645","73.2943469785575","77.37881508078995"
"24","260","0.4","50","0","pos","259","75.42056074766356","24.57943925233645","74.26900584795322","76.48114901256733"
"25","260","0.5","50","0","pos","166","71.77570093457943","28.22429906542056","70.37037037037037","73.07001795332137"
"28","260","0.3","10","0","pos","0","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"27","260","0.2","10","0","pos","0","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"26","260","0.1","10","0","pos","69","60.46728971962617","39.532710280373834","59.4541910331384","61.40035906642729"
"27","260","0.2","10","0","pos","69","61.02803738317757","38.97196261682243","59.4541910331384","62.47755834829444"
"28","260","0.3","10","0","pos","69","61.21495327102804","38.78504672897196","59.64912280701754","62.65709156193896"
