"BehaviorSpace results (NetLogo 7.0.2)","Table version 2.0"
"modelo_redes_preferenciales.nlogox"
"main-pattern-negative-fixed-small-world"
"06/22/2026 04:12:22:947 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","total-ticks","learning-rate","pairs-per-tick","confidence-threshold","influence-type","[step]","percentage-A","percentage-B","male-percentage-A","female-percentage-A"
"1","260","0.1","10","0.1","neg","0","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"1","260","0.1","10","0.1","neg","69","60.5607476635514","39.4392523364486","59.84405458089669","61.22082585278277"
"7","260","0.2","20","0.1","neg","0","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"4","260","0.4","10","0.1","neg","0","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"1","260","0.1","10","0.1","neg","166","59.439252336448604","40.560747663551396","58.67446393762184","60.14362657091562"
"9","260","0.4","20","0.1","neg","0","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"5","260","0.5","10","0.1","neg","0","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"10","260","0.5","20","0.1","neg","0","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"3","260","0.3","10","0.1","neg","0","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"8","260","0.3","20","0.1","neg","0","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"11","260","0.1","30","0.1","neg","0","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"3","260","0.3","10","0.1","neg","69","59.06542056074766","40.93457943925234","57.50487329434698","60.502692998204665"
"9","260","0.4","20","0.1","neg","69","56.074766355140184","43.925233644859816","54.77582846003899","57.27109515260324"
"4","260","0.4","10","0.1","neg","69","58.78504672897197","41.21495327102804","57.30994152046783","60.14362657091562"
"12","260","0.2","30","0.1","neg","0","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"2","260","0.2","10","0.1","neg","0","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"10","260","0.5","20","0.1","neg","69","57.19626168224299","42.80373831775701","57.1150097465887","57.27109515260324"
"8","260","0.3","20","0.1","neg","69","57.009345794392516","42.99065420560748","56.72514619883041","57.27109515260324"
"6","260","0.1","20","0.1","neg","0","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"7","260","0.2","20","0.1","neg","69","58.87850467289719","41.1214953271028","56.33528265107213","61.22082585278277"
"5","260","0.5","10","0.1","neg","69","58.13084112149532","41.86915887850468","58.47953216374269","57.809694793536806"
"3","260","0.3","10","0.1","neg","166","56.728971962616825","43.27102803738318","54.77582846003899","58.52782764811491"
"1","260","0.1","10","0.1","neg","259","59.25233644859813","40.74766355140187","59.06432748538012","59.42549371633752"
"11","260","0.1","30","0.1","neg","69","59.532710280373834","40.46728971962617","58.28460038986355","60.68222621184919"
"4","260","0.4","10","0.1","neg","166","56.63551401869159","43.36448598130841","55.7504873294347","57.450628366247756"
"9","260","0.4","20","0.1","neg","166","54.20560747663551","45.794392523364486","53.021442495126706","55.296229802513466"
"10","260","0.5","20","0.1","neg","166","54.953271028037385","45.046728971962615","55.55555555555556","54.39856373429084"
"6","260","0.1","20","0.1","neg","69","60.09345794392523","39.90654205607477","59.06432748538012","61.04129263913825"
"8","260","0.3","20","0.1","neg","166","54.299065420560744","45.70093457943925","55.165692007797276","53.50089766606823"
"12","260","0.2","30","0.1","neg","69","57.476635514018696","42.523364485981304","55.945419103313846","58.88689407540395"
"2","260","0.2","10","0.1","neg","69","59.345794392523366","40.654205607476634","57.69980506822612","60.86175942549371"
"5","260","0.5","10","0.1","neg","166","55.98130841121496","44.018691588785046","57.30994152046783","54.7576301615799"
"11","260","0.1","30","0.1","neg","166","56.54205607476636","43.45794392523364","55.165692007797276","57.809694793536806"
"7","260","0.2","20","0.1","neg","166","56.44859813084112","43.55140186915888","55.55555555555556","57.27109515260324"
"10","260","0.5","20","0.1","neg","259","53.17757009345795","46.822429906542055","53.021442495126706","53.3213644524237"
"6","260","0.1","20","0.1","neg","166","58.504672897196265","41.495327102803735","56.92007797270955","59.964093357271096"
"3","260","0.3","10","0.1","neg","259","56.168224299065415","43.83177570093458","54.97076023391813","57.27109515260324"
"5","260","0.5","10","0.1","neg","259","53.55140186915888","46.44859813084112","54.58089668615984","52.6032315978456"
"4","260","0.4","10","0.1","neg","259","55.887850467289724","44.11214953271028","54.77582846003899","56.91202872531418"
"9","260","0.4","20","0.1","neg","259","52.71028037383177","47.28971962616823","50.877192982456144","54.39856373429084"
"12","260","0.2","30","0.1","neg","166","54.67289719626168","45.32710280373832","53.80116959064327","55.475763016157984"
"13","260","0.3","30","0.1","neg","0","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"6","260","0.1","20","0.1","neg","259","57.757009345794394","42.242990654205606","55.945419103313846","59.42549371633752"
"11","260","0.1","30","0.1","neg","259","55.794392523364486","44.205607476635514","54.385964912280706","57.09156193895871"
"7","260","0.2","20","0.1","neg","259","54.859813084112155","45.140186915887845","53.80116959064327","55.83482944344704"
"2","260","0.2","10","0.1","neg","166","58.22429906542056","41.77570093457944","56.92007797270955","59.42549371633752"
"8","260","0.3","20","0.1","neg","259","53.17757009345795","46.822429906542055","53.99610136452242","52.42369838420108"
"13","260","0.3","30","0.1","neg","69","55.32710280373831","44.67289719626169","54.385964912280706","56.193895870736085"
"12","260","0.2","30","0.1","neg","259","52.61682242990654","47.38317757009346","51.656920077972714","53.50089766606823"
"15","260","0.5","30","0.1","neg","0","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"2","260","0.2","10","0.1","neg","259","57.38317757009346","42.61682242990654","55.7504873294347","58.88689407540395"
"17","260","0.2","40","0.1","neg","0","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"15","260","0.5","30","0.1","neg","69","54.48598130841121","45.51401869158879","53.216374269005854","55.65529622980251"
"16","260","0.1","40","0.1","neg","0","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"13","260","0.3","30","0.1","neg","166","53.73831775700935","46.26168224299065","53.021442495126706","54.39856373429084"
"19","260","0.4","40","0.1","neg","0","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"17","260","0.2","40","0.1","neg","69","58.3177570093458","41.6822429906542","57.1150097465887","59.42549371633752"
"14","260","0.4","30","0.1","neg","0","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"18","260","0.3","40","0.1","neg","0","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"15","260","0.5","30","0.1","neg","166","54.01869158878505","45.981308411214954","52.241715399610136","55.65529622980251"
"16","260","0.1","40","0.1","neg","69","57.38317757009346","42.61682242990654","56.53021442495126","58.16876122082585"
"19","260","0.4","40","0.1","neg","69","54.299065420560744","45.70093457943925","53.80116959064327","54.7576301615799"
"14","260","0.4","30","0.1","neg","69","54.953271028037385","45.046728971962615","54.77582846003899","55.11669658886894"
"13","260","0.3","30","0.1","neg","259","52.80373831775701","47.19626168224299","52.436647173489284","53.14183123877917"
