"BehaviorSpace results (NetLogo 7.0.2)","Table version 2.0"
"modelo_redes_preferenciales.nlogox"
"main-pattern-positive-fixed-small-world"
"06/22/2026 04:22:26:997 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","total-ticks","learning-rate","pairs-per-tick","confidence-threshold","influence-type","[step]","percentage-A","percentage-B","male-percentage-A","female-percentage-A"
"1","260","0.1","10","0","pos","0","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"1","260","0.1","10","0","pos","69","61.02803738317757","38.97196261682243","59.64912280701754","62.29802513464991"
"1","260","0.1","10","0","pos","166","62.33644859813084","37.663551401869164","60.23391812865497","64.27289048473968"
"10","260","0.5","20","0","pos","0","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"11","260","0.1","30","0","pos","0","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"2","260","0.2","10","0","pos","0","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"4","260","0.4","10","0","pos","0","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"1","260","0.1","10","0","pos","259","62.42990654205608","37.570093457943926","60.81871345029239","63.91382405745063"
"9","260","0.4","20","0","pos","0","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"7","260","0.2","20","0","pos","0","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"8","260","0.3","20","0","pos","0","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"6","260","0.1","20","0","pos","0","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"12","260","0.2","30","0","pos","0","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"11","260","0.1","30","0","pos","69","62.149532710280376","37.850467289719624","61.40350877192983","62.83662477558348"
"2","260","0.2","10","0","pos","69","61.308411214953274","38.691588785046726","59.84405458089669","62.65709156193896"
"3","260","0.3","10","0","pos","0","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"10","260","0.5","20","0","pos","69","64.20560747663552","35.794392523364486","66.08187134502924","62.47755834829444"
"4","260","0.4","10","0","pos","69","62.80373831775701","37.19626168224299","62.768031189083814","62.83662477558348"
"5","260","0.5","10","0","pos","0","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"9","260","0.4","20","0","pos","69","66.82242990654206","33.177570093457945","64.5224171539961","68.9407540394973"
"7","260","0.2","20","0","pos","69","61.6822429906542","38.31775700934579","62.37816764132553","61.04129263913825"
"8","260","0.3","20","0","pos","69","63.45794392523364","36.54205607476636","62.768031189083814","64.09335727109516"
"6","260","0.1","20","0","pos","69","60.93457943925233","39.06542056074767","59.25925925925925","62.47755834829444"
"4","260","0.4","10","0","pos","166","64.85981308411215","35.14018691588785","67.05653021442495","62.83662477558348"
"2","260","0.2","10","0","pos","166","62.33644859813084","37.663551401869164","61.59844054580896","63.016157989228006"
"5","260","0.5","10","0","pos","69","63.177570093457945","36.822429906542055","65.10721247563353","61.40035906642729"
"13","260","0.3","30","0","pos","0","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"11","260","0.1","30","0","pos","166","65.42056074766354","34.57943925233645","64.71734892787524","66.06822262118493"
"9","260","0.4","20","0","pos","166","74.39252336448598","25.607476635514022","74.85380116959064","73.96768402154399"
"3","260","0.3","10","0","pos","69","61.21495327102804","38.78504672897196","58.67446393762184","63.55475763016158"
"12","260","0.2","30","0","pos","69","64.57943925233644","35.42056074766355","63.35282651072125","65.70915619389586"
"7","260","0.2","20","0","pos","166","64.67289719626169","35.32710280373832","66.08187134502924","63.37522441651705"
"10","260","0.5","20","0","pos","166","71.49532710280374","28.504672897196258","72.12475633528264","70.91561938958706"
"4","260","0.4","10","0","pos","259","67.94392523364486","32.05607476635514","70.37037037037037","65.70915619389586"
"2","260","0.2","10","0","pos","259","63.55140186915887","36.44859813084112","63.35282651072125","63.73429084380611"
"9","260","0.4","20","0","pos","259","80.5607476635514","19.439252336448597","80.31189083820662","80.78994614003591"
"11","260","0.1","30","0","pos","259","68.87850467289721","31.121495327102807","68.2261208576998","69.47935368043088"
"3","260","0.3","10","0","pos","166","65.23364485981308","34.76635514018692","62.1832358674464","68.04308797127469"
"6","260","0.1","20","0","pos","166","62.523364485981304","37.47663551401869","61.59844054580896","63.37522441651705"
"8","260","0.3","20","0","pos","166","66.07476635514018","33.925233644859816","64.5224171539961","67.50448833034112"
"13","260","0.3","30","0","pos","69","64.67289719626169","35.32710280373832","63.74269005847953","65.52962298025135"
"5","260","0.5","10","0","pos","166","68.03738317757009","31.962616822429908","71.73489278752436","64.63195691202873"
"3","260","0.3","10","0","pos","259","67.00934579439253","32.99065420560748","64.71734892787524","69.12028725314184"
"10","260","0.5","20","0","pos","259","77.19626168224299","22.80373831775701","76.41325536062378","77.91741472172352"
"12","260","0.2","30","0","pos","166","68.69158878504673","31.308411214953267","67.2514619883041","70.01795332136446"
"7","260","0.2","20","0","pos","259","67.19626168224299","32.80373831775701","67.44639376218323","66.96588868940754"
"6","260","0.1","20","0","pos","259","64.20560747663552","35.794392523364486","63.1578947368421","65.1705565529623"
"5","260","0.5","10","0","pos","259","72.05607476635514","27.943925233644862","76.21832358674465","68.2226211849192"
"13","260","0.3","30","0","pos","166","71.40186915887851","28.598130841121495","72.70955165692008","70.19748653500898"
"12","260","0.2","30","0","pos","259","74.29906542056075","25.70093457943925","73.48927875243665","75.04488330341114"
"8","260","0.3","20","0","pos","259","68.22429906542055","31.775700934579437","68.03118908382066","68.40215439856372"
"17","260","0.2","40","0","pos","0","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"14","260","0.4","30","0","pos","0","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"13","260","0.3","30","0","pos","259","75.70093457943925","24.299065420560748","74.6588693957115","76.66068222621185"
"16","260","0.1","40","0","pos","0","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"17","260","0.2","40","0","pos","69","63.64485981308411","36.35514018691588","62.96296296296296","64.27289048473968"
"14","260","0.4","30","0","pos","69","68.41121495327103","31.588785046728972","67.44639376218323","69.29982046678636"
"15","260","0.5","30","0","pos","0","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"16","260","0.1","40","0","pos","69","62.24299065420561","37.75700934579439","61.01364522417154","63.37522441651705"
"14","260","0.4","30","0","pos","166","72.61682242990655","27.38317757009346","73.2943469785575","71.99281867145422"
"15","260","0.5","30","0","pos","69","68.5981308411215","31.401869158878505","70.9551656920078","66.42728904847397"
"17","260","0.2","40","0","pos","166","70.18691588785046","29.813084112149536","67.44639376218323","72.71095152603232"
"19","260","0.4","40","0","pos","0","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"14","260","0.4","30","0","pos","259","76.26168224299066","23.738317757009344","76.21832358674465","76.30161579892281"
"16","260","0.1","40","0","pos","166","67.57009345794393","32.429906542056074","66.66666666666666","68.40215439856372"
"18","260","0.3","40","0","pos","0","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"17","260","0.2","40","0","pos","259","74.95327102803738","25.04672897196262","72.90448343079922","76.84021543985638"
"25","260","0.5","50","0","pos","0","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"19","260","0.4","40","0","pos","69","70.8411214953271","29.1588785046729","69.20077972709552","72.35188509874327"
"22","260","0.2","50","0","pos","0","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"15","260","0.5","30","0","pos","166","80.18691588785046","19.813084112149532","78.16764132553607","82.04667863554758"
"16","260","0.1","40","0","pos","259","71.49532710280374","28.504672897196258","71.53996101364523","71.45421903052065"
"20","260","0.5","40","0","pos","0","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"18","260","0.3","40","0","pos","69","67.10280373831776","32.89719626168225","67.05653021442495","67.14542190305207"
"21","260","0.1","50","0","pos","0","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"25","260","0.5","50","0","pos","69","73.36448598130842","26.635514018691588","71.15009746588694","75.40394973070018"
